Temp,Time,39Ar,40Ar,Age,Age_Err
650,12,245.05,11417.11,119.21,0.78
700,12,293.49,11676.12,129.33,0.77
725,12,201.44,7561.66,126.44,0.75
750,12,171.37,5930.21,121.79,0.72
775,12,141.21,4535.84,113.17,0.67
810,12,125.37,3913.04,109.01,0.65
845,12,110.2,3588.72,113.65,0.68
875,12,102.86,3489.68,118.35,0.7
910,12,127.72,4502.2,122.86,0.72
950,12,200.05,6277.21,110.85,0.66
980,12,207.56,5228.17,90.56,0.54
1020,12,210.06,4704.01,81.04,0.48
1070,12,131.74,2863.69,78.24,0.47
1110,12,41.28,951.89,79.74,0.48
1180,12,17.27,472.89,83.23,0.54
1400,12,7.87,356.15,79.94,0.6
