temp1,time1,ar391,ar401,age1,age_err1
725,12,92.06,6137.52,121.86,0.75
775,12,74.49,3128.33,131.81,0.61
820,12,185.53,7118.49,129.69,0.58
850,12,327.39,11860.89,127,0.57
875,12,487.57,18061.6,131.1,0.58
900,12,510.07,19149.24,133.15,0.59
915,12,352.36,13343.97,133.61,0.59
930,12,199.97,7657.46,134.69,0.6
945,12,151.96,5846.33,135.33,0.6
960,12,114.81,4403.71,134.86,0.6
980,12,97.7,3737.85,134.46,0.59
1000,12,80.47,3036.68,132.79,0.59
1030,12,82.5,3050.96,130.36,0.57
1100,12,115.69,3694.66,113.33,0.5
1400,12,47.3,1440.18,99.17,0.5
