Age,Age Error,40Ar_r,39Ar,37Ar,36Ar,Temperature (Degrees Celcius)
22.57,4.02,0.788082,0.088461,0.000423,0.005909,652.1319648
25.81,3.15,2.836287,0.278071,0.000424,0.014531,748.3183519
25.67,1.77,2.808423,0.276864,0.000425,0.007878,754.8726606
25.51,1.1,2.656281,0.263567,0.000157,0.004292,761.325348
25.46,0.84,2.402813,0.23888,0.000158,0.002614,767.6795172
25.49,0.69,2.88064,0.286071,0.000158,0.002194,773.9381314
25.49,0.62,3.611137,0.358508,0.000449,0.002075,780.104022
25.46,0.58,3.647701,0.362666,0.000083,0.001668,786.1798963
25.49,0.56,3.914456,0.388735,0.000083,0.001457,792.1683449
25.4,0.55,4.128763,0.411326,0.000083,0.001298,798.0718482
25.45,0.54,4.137207,0.411422,0.000568,0.001112,803.8927822
25.4,0.53,4.142668,0.412726,0.000568,0.000989,809.633425
25.43,0.53,4.407419,0.438734,0.000225,0.00096,815.2959613
25.34,0.53,3.962432,0.395781,0.000226,0.00088,820.8824881
25.43,0.52,4.691765,0.466956,0.000514,0.000902,826.395019
25.51,0.53,4.34949,0.431573,0.000121,0.00083,831.8354887
25.77,0.53,3.817053,0.374908,0.000121,0.000697,837.2057567
25.99,0.54,3.385243,0.329562,0.000382,0.000685,842.5076119
26.37,0.56,2.574436,0.246984,0.000555,0.000577,847.7427752
26.79,0.58,2.227306,0.210362,0.000078,0.000573,852.9129038
26.96,0.59,2.055047,0.192864,0.00033,0.000631,858.0195937
27.39,0.6,1.843888,0.170279,0.000403,0.00047,863.0643827
27.51,0.6,1.840693,0.169276,0.000386,0.000457,868.0487537
27.65,0.62,1.767174,0.161682,0.000117,0.000415,872.9741366
27.39,0.61,1.65638,0.152955,0.000287,0.000417,877.8419114
27.21,0.62,1.622055,0.150819,0.000563,0.000452,882.65341
27.63,0.61,1.849451,0.169312,0.000418,0.000427,892.1126809
27.55,0.6,1.848468,0.169725,0.000305,0.000403,901.3617282
27.36,0.58,2.689912,0.248694,0.001416,0.000704,914.8609656
27.43,0.58,3.145162,0.290069,0.001623,0.000697,927.9360723
27.48,0.58,3.107378,0.286053,0.000749,0.000624,940.6128899
27.53,0.57,3.1501,0.289385,0.000935,0.000567,952.9149678
27.58,0.57,2.992567,0.274503,0.000906,0.000502,964.8638267
27.68,0.58,2.717842,0.248317,0.001274,0.000483,976.4791853
27.78,0.58,2.599329,0.236629,0.001276,0.00045,987.7791554
28.03,0.6,2.06861,0.186624,0.001322,0.000309,998.7804127
28.1,0.62,1.700789,0.153054,0.000186,0.000438,1009.498344
28.36,0.66,1.344409,0.119891,0.000459,0.000185,1019.947177
28.46,0.67,1.12031,0.09953,0.00027,0.000138,1030.140095
28.18,0.72,0.860236,0.077206,0.000861,0.000147,1040.089334
29.15,0.81,0.737318,0.063955,0.000944,0.000022,1049.806273
29.25,0.68,1.253625,0.108377,0.006847,0.000399,1109.363413
28.92,6.26,0.085233,0.007452,0.000183,0.000522,1229.093815
