Age,Age Error,40Ar_r,39Ar,37Ar,36Ar,Temperature (Degrees Celcius)
6,4.45,0.049574,0.021025,0.000181,0.001448,652.1319648
6.81,2.45,0.057525,0.021503,0.000179,0.000681,691.7991085
6.74,1.27,0.255451,0.096382,0.000716,0.001966,728.0123735
6.89,0.9,0.308335,0.113888,0.000237,0.001611,741.6591699
6.96,0.73,0.444688,0.162452,0.000047,0.001864,767.6795172
6.78,0.43,1.156306,0.434219,0.000711,0.002932,792.1683449
6.69,0.32,1.238507,0.470864,0.001105,0.00219,809.633425
6.49,0.26,1.505738,0.590434,0.001722,0.002159,826.395019
6.4,0.23,1.492349,0.592907,0.001633,0.001781,837.2057567
6.36,0.21,1.302532,0.521196,0.001564,0.001329,847.7427752
6.45,0.26,0.432425,0.170532,0.000777,0.00038,858.0195937
6.31,0.19,2.23272,0.899789,0.001412,0.001988,877.8419114
6.35,0.17,2.078415,0.832754,0.002093,0.00152,887.409919
6.37,0.16,1.963338,0.784829,0.001983,0.001282,896.7628968
6.36,0.17,1.536687,0.615198,0.001854,0.000978,905.910298
6.31,0.16,1.798224,0.725005,0.001587,0.001083,914.8609656
6.26,0.15,1.859476,0.755271,0.001226,0.000874,923.623184
6.19,0.15,1.796596,0.739002,0.001358,0.000835,932.2047251
6.12,0.15,1.47242,0.611931,0.001396,0.000643,940.6128899
6.08,0.14,1.562287,0.653637,0.001026,0.000596,948.8545453
5.98,0.14,1.351724,0.57564,0.001287,0.000486,956.9361585
5.89,0.14,1.346926,0.581572,0.000864,0.000518,968.7717428
5.72,0.14,1.272617,0.565766,0.000481,0.000502,980.2800336
5.57,0.14,1.257334,0.57483,0.000026,0.000575,991.4786464
5.49,0.14,1.036695,0.48058,0.000759,0.000388,1002.383812
5.35,0.14,0.799653,0.380753,0.000205,0.000253,1013.010517
5.02,0.14,0.665415,0.337728,0.000794,0.000267,1023.372629
4.88,0.15,0.551474,0.287806,0.000436,0.000234,1033.483004
5.15,0.19,0.480116,0.237276,0.00028,0.000338,1043.353586
5.41,0.21,0.427769,0.201272,0.000204,0.000287,1052.995484
5.19,0.18,0.650761,0.319068,0.00054,0.000632,1109.363413
3.36,0.5,0.072807,0.055181,0.00054,0.000079,1229.093815
